79,Jimmy Butler,Mia,F,31.5,25,33.4,69.5,27.8,10.8,218,0.849,323,0.502,43,0.209,0.48,0.58,21.4,7.4,12.3,8,40.9,2.16,0.44,2.24,13,123.5,105.8
80,Bruno Caboclo,Hou,F,25.48,6,6.1,12.6,25.5,18.3,2,0.5,12,0.667,5,0,0.471,0.475,2.8,2.3,20.3,0.2,4.7,0,0.33,0.67,7.1,83.1,95.7
81,Devontae Cacok,Lal,F,24.43,4,4.3,9,17.4,29.1,2,0,4,1,0,0,1,0.82,2,1.3,16.3,0,0,0.5,0,0.5,0,96.6,101.7
82,Kentavious Caldwell-Pope,Lal,G,28.07,34,26.2,54.6,14,12.9,49,0.857,99,0.495,129,0.395,0.55,0.587,8.6,2.4,5.2,1.4,7.3,0.79,0.26,1.09,4.7,110.3,104.3
83,Facundo Campazzo,Den,G,29.98,32,16.7,34.8,14.6,15.1,37,0.811,41,0.463,94,0.372,0.53,0.572,5.4,1.1,3.7,2.3,17.1,0.91,0.22,0.84,5.7,114.3,104.3
84,Vlatko Cancar,Den,F,23.93,21,6.1,12.7,13.9,22.1,6,0.833,14,0.571,15,0.2,0.431,0.474,1.4,1.3,12.4,0.3,5.9,0.33,0.1,0.43,5.4,87.4,104.1
85,Clint Capela,Atl,C,26.83,34,29.5,61.5,20.1,10.4,113,0.531,372,0.597,0,0,0.597,0.598,14.8,14.3,26.4,0.9,5,0.74,2.29,1.44,7.8,120.7,103.1
86,Vernon Carey Jr.,Cha,F-C,20.05,4,2.7,5.7,19,20.5,2,0.5,2,0.5,1,0,0.333,0.387,0.8,1.3,24.8,0.3,12.1,0,0.25,0.25,10,,
87,Wendell Carter Jr.,Chi,C-F,21.91,26,25.9,54,19.4,14.7,95,0.747,199,0.538,21,0.333,0.534,0.584,11.8,8,17.1,2.2,11.8,0.65,0.85,1.73,9.1,114.5,101
88,Jevon Carter,Pho,G,25.5,30,9.8,20.4,13.9,5.4,2,1,27,0.481,59,0.305,0.465,0.472,2.7,1.2,7.1,1.2,15.4,0.43,0.23,0.17,6.4,107,101.5
89,Michael Carter-Williams,Orl,G,29.43,20,26.7,55.6,19.6,19.7,45,0.733,140,0.443,36,0.25,0.429,0.47,9.2,4.7,9,4.3,24.1,0.55,0.45,2.4,8.6,95.6,105.2
90,Alex Caruso,Lal,G,27.04,30,19.5,40.6,14.1,16.9,25,0.72,76,0.461,70,0.4,0.527,0.548,5.7,2.7,7.9,2.4,16.3,1,0.2,1.07,6.8,108.1,99.5
91,Willie Cauley-Stein,Dal,C,27.57,33,17.3,36,12.2,10.2,48,0.646,113,0.655,7,0.143,0.629,0.645,5.5,4.4,14,0.8,6.4,0.3,0.76,0.48,6.2,129.8,101.5
92,Chris Chiozza,Bro,G,25.31,15,9.1,18.9,20.1,15.9,13,0.769,24,0.333,23,0.391,0.457,0.503,3.5,1.1,6.6,2.4,34.2,0.27,0.27,0.67,9.2,112.5,109.4
93,Marquese Chriss,Gol,F,23.7,2,13.4,27.8,28.2,11.3,4,0.5,9,0.444,5,0.2,0.393,0.412,6.5,6.5,25.5,1,11.2,0,1,1,10.4,87.1,96.9
94,Brandon Clarke,Mem,F-G,24.48,30,26.9,56,17.8,5,61,0.672,245,0.559,51,0.333,0.549,0.567,12.2,5.8,11.8,1.6,8.4,1.17,0.77,0.57,7.2,118.6,107.4
95,Gary Clark,Orl,F,26.33,33,18.9,39.5,10.3,11.3,10,0.8,22,0.409,107,0.28,0.419,0.435,3.5,3.3,9.1,0.9,6.5,0.36,0.18,0.52,4.6,96.4,111.1
96,Jordan Clarkson,Uta,G,28.77,38,25.8,53.8,28.7,10,60,0.967,241,0.548,324,0.37,0.552,0.577,17.9,4,8.2,2.2,13.9,0.97,0.18,1.74,8.4,111.9,106.1
97,Nicolas Claxton,Bro,F-C,21.91,7,15.8,33,19.8,7.9,19,0.632,36,0.694,2,0,0.658,0.669,8.9,3.4,12.2,1,9.4,0.86,1.43,0.57,7.9,129.6,101.8
98,Amir Coffey,Lac,G-F,23.74,22,8,16.7,16.4,13.7,13,0.538,22,0.5,29,0.483,0.627,0.626,3.2,0.8,5.4,0.5,8.5,0.23,0,0.41,5.4,114.4,111
99,John Collins,Atl,F-C,23.47,39,30.5,63.6,22.3,8.7,128,0.844,370,0.586,139,0.374,0.58,0.617,17.9,7.7,13.7,1.4,7.7,0.44,0.97,1.38,7.6,121.2,104.1
100,Mike Conley,Uta,G,33.43,31,29.6,61.6,22.6,12,81,0.84,186,0.484,204,0.426,0.565,0.598,16.4,3.4,6.1,5.6,28.6,1.42,0.1,1.87,9.2,123.8,105.6
101,Pat Connaughton,Mil,G,28.19,35,21.2,44.2,11.8,6.2,17,0.824,60,0.55,128,0.391,0.574,0.588,6.6,4.2,10.4,1.4,8,0.69,0.43,0.37,6.4,125.3,105.7
102,Quinn Cook,Lal,G,27.98,16,3.9,8.1,21.8,9.6,5,0.8,13,0.538,13,0.385,0.558,0.585,2.1,0.3,4.5,0.3,12.2,0.06,0.06,0.19,5.9,,
103,Quinn Cook,Cle,G,27.98,2,17.5,36.4,21.1,5.9,0,0,9,0.333,7,0.571,0.563,0.563,9,3,9.6,2.5,23.7,1,0,0.5,9.3,121,113.6
104,Tyler Cook,Bro,F,23.47,4,4.2,8.6,10.5,25,0,0,3,0.333,0,0,0.333,0.333,0.5,0.5,6.8,0.5,14.4,0,0,0.25,4.8,88.7,108
105,DeMarcus Cousins,Hou,C,30.59,25,20.2,42.2,23.1,14.2,59,0.746,94,0.426,116,0.336,0.469,0.511,9.6,7.6,19.9,2.4,18.4,0.84,0.72,1.56,11.1,101.4,94.8
106,Robert Covington,Por,F,30.25,36,32.2,67,12.1,13.2,29,0.828,83,0.47,188,0.356,0.515,0.534,8.4,6.6,10.9,1.8,7.4,1.56,1.17,1.19,5.8,105.9,109.6
107,Torrey Craig,Mil,F,30.24,18,11.2,23.3,10.8,9.6,2,0.5,24,0.417,22,0.364,0.478,0.48,2.5,2.4,11.2,0.9,9.5,0.5,0.39,0.28,6.3,112.1,100.4
108,Jae Crowder,Pho,F,30.69,34,27.4,57.1,15.9,9,35,0.829,74,0.473,213,0.376,0.54,0.561,10,5,10.2,2.1,10.2,0.85,0.21,0.88,6.9,110.3,105.5
109,Jarrett Culver,Min,G-F,22.06,19,19.8,41.3,18.6,13.8,35,0.6,93,0.495,35,0.229,0.453,0.478,7.2,4.7,12.8,0.8,6.2,0.63,0.37,1.21,6.1,94.3,106.8
110,Seth Curry,Phi,G,30.56,31,29.6,61.7,17.2,11.8,58,0.931,164,0.488,140,0.436,0.564,0.602,12.8,2.1,4,2.9,13.8,0.9,0.26,1.42,5.8,116.1,108.4
111,Stephen Curry,Gol,G,33,37,34,70.7,32.4,12.1,206,0.927,326,0.561,428,0.411,0.593,0.642,29.3,5.4,8.3,6.3,32.4,1.32,0.08,3.14,11.8,118.4,108.3
